# Biblical-name pronunciation lexicon (English respellings).
# Format: Name<TAB>respelling. Applied before phonemization; engine
# lexicon overrides take priority over default pronunciation rules.
Nebuchadnezzar	neb-yoo-kad-NEZ-er
Capernaum	kə-PUR-nay-əm
Melchizedek	mel-KIZ-ə-dek
Sennacherib	sen-NAK-er-ib
Zerubbabel	zeh-ROO-bə-bel
Habakkuk	hə-BAK-uk
Zephaniah	zef-ə-NY-ə
Zechariah	zek-ə-RY-ə
Nebuzaradan	neb-yoo-zə-RAY-dən
Mephibosheth	mə-FIB-ə-sheth
Jehoshaphat	jə-HOSH-ə-fat
Jehoiachin	jə-HOY-ə-kin
Zedekiah	zed-ə-KY-ə
Hezekiah	hez-ə-KY-ə
Nebuchadrezzar	neb-yoo-kad-REZ-er
Ashpenaz	ASH-pə-naz
Belteshazzar	bel-tə-SHAZ-er
Abednego	ə-BED-nə-go
Shadrach	SHAY-drak
Meshach	MEE-shak
Tiglath-Pileser	tig-lath-pə-LEE-zer
Esarhaddon	ee-sər-HAD-ən
Nebuchadnezzar's	neb-yoo-kad-NEZ-ərz
Antioch	AN-tee-ok
Laodicea	lay-od-ə-SEE-ə
Colossae	kə-LOS-ee
Thessalonica	thes-ə-lə-NY-kə
Philippians	fə-LIP-ee-ənz
Ephesus	EF-ə-səs
Philemon	fə-LEE-mən
Onesimus	ə-NES-ə-məs
Priscilla	prə-SIL-ə
Aquila	AK-wə-lə
Apollos	ə-POL-əs
Tychicus	TIK-ə-kəs
Epaphroditus	ə-paf-rə-DY-təs
Diotrephes	dy-OT-rə-feez
Gaius	GAY-əs
Matthias	mə-THY-əs
Bartholomew	bar-THOL-ə-myoo
Thaddaeus	THAD-ee-əs
Nicodemus	nik-ə-DEE-məs
Gamaliel	gə-MAY-lee-əl
Caiaphas	KAY-ə-fəs
Annas	AN-əs
Barabbas	bə-RAB-əs
Golgotha	GOL-gə-thə
Gethsemane	geth-SEM-ə-nee
Magdalene	MAG-də-leen
